"AREACODE","AREANAME","COUNTRY","PROVINCE","CITY","CANTON"
"152524","内蒙古自治区锡林郭勒盟苏尼特右旗","中华人民共和国","内蒙古自治区","锡林郭勒盟","苏尼特右旗"
"152525","内蒙古自治区锡林郭勒盟东乌珠穆沁旗","中华人民共和国","内蒙古自治区","锡林郭勒盟","东乌珠穆沁旗"
"152527","内蒙古自治区锡林郭勒盟太仆寺旗","中华人民共和国","内蒙古自治区","锡林郭勒盟","太仆寺旗"
"152528","内蒙古自治区锡林郭勒盟镶黄旗","中华人民共和国","内蒙古自治区","锡林郭勒盟","镶黄旗"
"152530","内蒙古自治区锡林郭勒盟正蓝旗","中华人民共和国","内蒙古自治区","锡林郭勒盟","正蓝旗"
"152531","内蒙古自治区锡林郭勒盟多伦县","中华人民共和国","内蒙古自治区","锡林郭勒盟","多伦县"
"152601","内蒙古自治区二连浩特市市辖区","中华人民共和国","内蒙古自治区","二连浩特市","市辖区"
"152701","内蒙古自治区满洲里市市辖区","中华人民共和国","内蒙古自治区","满洲里市","市辖区"
"152900","内蒙古自治区阿拉善盟","中华人民共和国","内蒙古自治区","阿拉善盟",""
"152903","内蒙古自治区阿拉善盟阿拉善移民生态示范区","中华人民共和国","内蒙古自治区","阿拉善盟","阿拉善移民生态示范区"
"152922","内蒙古自治区阿拉善盟阿拉善右旗","中华人民共和国","内蒙古自治区","阿拉善盟","阿拉善右旗"
"152923","内蒙古自治区阿拉善盟额济纳旗","中华人民共和国","内蒙古自治区","阿拉善盟","额济纳旗"
"210100","辽宁省沈阳市","中华人民共和国","辽宁省","沈阳市",""
"210103","辽宁省沈阳市沈河区","中华人民共和国","辽宁省","沈阳市","沈河区"
"210105","辽宁省沈阳市皇姑区","中华人民共和国","辽宁省","沈阳市","皇姑区"
"210112","辽宁省沈阳市东陵区","中华人民共和国","辽宁省","沈阳市","东陵区"
"210113","辽宁省沈阳市沈北新区","中华人民共和国","辽宁省","沈阳市","沈北新区"
"210124","辽宁省沈阳市法库县","中华人民共和国","辽宁省","沈阳市","法库县"
"210181","辽宁省沈阳市新民市","中华人民共和国","辽宁省","沈阳市","新民市"
"210204","辽宁省大连市沙河口区","中华人民共和国","辽宁省","大连市","沙河口区"
"210212","辽宁省大连市旅顺口区","中华人民共和国","辽宁省","大连市","旅顺口区"
"210281","辽宁省大连市瓦房店市","中华人民共和国","辽宁省","大连市","瓦房店市"
"210282","辽宁省大连市普兰店市","中华人民共和国","辽宁省","大连市","普兰店市"
"210303","辽宁省鞍山市铁西区","中华人民共和国","辽宁省","鞍山市","铁西区"
"210321","辽宁省鞍山市台安县","中华人民共和国","辽宁省","鞍山市","台安县"
"210381","辽宁省鞍山市海城市","中华人民共和国","辽宁省","鞍山市","海城市"
"210400","辽宁省抚顺市","中华人民共和国","辽宁省","抚顺市",""
"210404","辽宁省抚顺市望花区","中华人民共和国","辽宁省","抚顺市","望花区"
"210421","辽宁省抚顺市抚顺县","中华人民共和国","辽宁省","抚顺市","抚顺县"
"210500","辽宁省本溪市","中华人民共和国","辽宁省","本溪市",""
"210502","辽宁省本溪市平山区","中华人民共和国","辽宁省","本溪市","平山区"
"210521","辽宁省本溪市本溪满族自治县","中华人民共和国","辽宁省","本溪市","本溪满族自治县"
"210602","辽宁省丹东市元宝区","中华人民共和国","辽宁省","丹东市","元宝区"
"210604","辽宁省丹东市振安区","中华人民共和国","辽宁省","丹东市","振安区"
"210624","辽宁省丹东市宽甸满族自治县","中华人民共和国","辽宁省","丹东市","宽甸满族自治县"
"210702","辽宁省锦州市古塔区","中华人民共和国","辽宁省","锦州市","古塔区"
"210711","辽宁省锦州市太和区","中华人民共和国","辽宁省","锦州市","太和区"
"210781","辽宁省锦州市凌海市","中华人民共和国","辽宁省","锦州市","凌海市"
"210800","辽宁省营口市","中华人民共和国","辽宁省","营口市",""
"210804","辽宁省营口市鲅鱼圈区","中华人民共和国","辽宁省","营口市","鲅鱼圈区"
"210881","辽宁省营口市盖州市","中华人民共和国","辽宁省","营口市","盖州市"
"210902","辽宁省阜新市海州区","中华人民共和国","辽宁省","阜新市","海州区"
"210904","辽宁省阜新市太平区","中华人民共和国","辽宁省","阜新市","太平区"
"210921","辽宁省阜新市阜新蒙古族自治县","中华人民共和国","辽宁省","阜新市","阜新蒙古族自治县"
"211000","辽宁省辽阳市","中华人民共和国","辽宁省","辽阳市",""
"211004","辽宁省辽阳市宏伟区","中华人民共和国","辽宁省","辽阳市","宏伟区"
"211011","辽宁省辽阳市太子河区","中华人民共和国","辽宁省","辽阳市","太子河区"
"211100","辽宁省盘锦市","中华人民共和国","辽宁省","盘锦市",""
"211102","辽宁省盘锦市双台子区","中华人民共和国","辽宁省","盘锦市","双台子区"
"211200","辽宁省铁岭市","中华人民共和国","辽宁省","铁岭市",""
"211202","辽宁省铁岭市银州区","中华人民共和国","辽宁省","铁岭市","银州区"
"211224","辽宁省铁岭市昌图县","中华人民共和国","辽宁省","铁岭市","昌图县"
"211281","辽宁省铁岭市调兵山市","中华人民共和国","辽宁省","铁岭市","调兵山市"
"211300","辽宁省朝阳市","中华人民共和国","辽宁省","朝阳市",""
"211321","辽宁省朝阳市朝阳县","中华人民共和国","辽宁省","朝阳市","朝阳县"
"211381","辽宁省朝阳市北票市","中华人民共和国","辽宁省","朝阳市","北票市"
"211400","辽宁省葫芦岛市","中华人民共和国","辽宁省","葫芦岛市",""
"211403","辽宁省葫芦岛市龙港区","中华人民共和国","辽宁省","葫芦岛市","龙港区"
"211404","辽宁省葫芦岛市南票区","中华人民共和国","辽宁省","葫芦岛市","南票区"
"219000","辽宁省省直辖县级行政区划","中华人民共和国","辽宁省","省直辖县级行政区划",""
"220000","吉林省","中华人民共和国","吉林省","",""
"220103","吉林省长春市宽城区","中华人民共和国","吉林省","长春市","宽城区"
"220104","吉林省长春市朝阳区","中华人民共和国","吉林省","长春市","朝阳区"
"220122","吉林省长春市农安县","中华人民共和国","吉林省","长春市","农安县"
"220181","吉林省长春市九台市","中华人民共和国","吉林省","长春市","九台市"
"220202","吉林省吉林市昌邑区","中华人民共和国","吉林省","吉林市","昌邑区"
"220204","吉林省吉林市船营区","中华人民共和国","吉林省","吉林市","船营区"
"220281","吉林省吉林市蛟河市","中华人民共和国","吉林省","吉林市","蛟河市"
"220282","吉林省吉林市桦甸市","中华人民共和国","吉林省","吉林市","桦甸市"
"220302","吉林省四平市铁西区","中华人民共和国","吉林省","四平市","铁西区"
"220322","吉林省四平市梨树县","中华人民共和国","吉林省","四平市","梨树县"
"220382","吉林省四平市双辽市","中华人民共和国","吉林省","四平市","双辽市"
"220402","吉林省辽源市龙山区","中华人民共和国","吉林省","辽源市","龙山区"
"220422","吉林省辽源市东辽县","中华人民共和国","吉林省","辽源市","东辽县"
"220500","吉林省通化市","中华人民共和国","吉林省","通化市",""
"220503","吉林省通化市二道江区","中华人民共和国","吉林省","通化市","二道江区"
"220521","吉林省通化市通化县","中华人民共和国","吉林省","通化市","通化县"
"220524","吉林省通化市柳河县","中华人民共和国","吉林省","通化市","柳河县"
"220582","吉林省通化市集安市","中华人民共和国","吉林省","通化市","集安市"
"220600","吉林省白山市","中华人民共和国","吉林省","白山市",""
"220602","吉林省白山市八道江区","中华人民共和国","吉林省","白山市","八道江区"
"220621","吉林省白山市抚松县","中华人民共和国","吉林省","白山市","抚松县"
"220622","吉林省白山市靖宇县","中华人民共和国","吉林省","白山市","靖宇县"
"220681","吉林省白山市临江市","中华人民共和国","吉林省","白山市","临江市"
"220700","吉林省松原市","中华人民共和国","吉林省","松原市",""
"220702","吉林省松原市宁江区","中华人民共和国","吉林省","松原市","宁江区"
"220722","吉林省松原市长岭县","中华人民共和国","吉林省","松原市","长岭县"
"220723","吉林省松原市乾安县","中华人民共和国","吉林省","松原市","乾安县"
"220724","吉林省松原市扶余县","中华人民共和国","吉林省","松原市","扶余县"
"220802","吉林省白城市洮北区","中华人民共和国","吉林省","白城市","洮北区"
"220822","吉林省白城市通榆县","中华人民共和国","吉林省","白城市","通榆县"
"220881","吉林省白城市洮南市","中华人民共和国","吉林省","白城市","洮南市"
"221000","吉林省梅河口市","中华人民共和国","吉林省","梅河口市",""
"221001","吉林省梅河口市市辖区","中华人民共和国","吉林省","梅河口市","市辖区"
"221100","吉林省公主岭市","中华人民共和国","吉林省","公主岭市",""
"222200","吉林省长白山管理委员会","中华人民共和国","吉林省","长白山管理委员会",""
"222202","吉林省长白山管理委员会池西区","中华人民共和国","吉林省","长白山管理委员会","池西区"
"222203","吉林省长白山管理委员会池南区","中华人民共和国","吉林省","长白山管理委员会","池南区"
"222401","吉林省延边朝鲜族自治州延吉市","中华人民共和国","吉林省","延边朝鲜族自治州","延吉市"
"222403","吉林省延边朝鲜族自治州敦化市","中华人民共和国","吉林省","延边朝鲜族自治州","敦化市"
"222404","吉林省延边朝鲜族自治州珲春市","中华人民共和国","吉林省","延边朝鲜族自治州","珲春市"
"222406","吉林省延边朝鲜族自治州和龙市","中华人民共和国","吉林省","延边朝鲜族自治州","和龙市"
"222426","吉林省延边朝鲜族自治州安图县","中华人民共和国","吉林省","延边朝鲜族自治州","安图县"
"230000","黑龙江省","中华人民共和国","黑龙江省","",""
"230100","黑龙江省哈尔滨市","中华人民共和国","黑龙江省","哈尔滨市",""
"230103","黑龙江省哈尔滨市南岗区","中华人民共和国","黑龙江省","哈尔滨市","南岗区"
"230104","黑龙江省哈尔滨市道外区","中华人民共和国","黑龙江省","哈尔滨市","道外区"
"230109","黑龙江省哈尔滨市松北区","中华人民共和国","黑龙江省","哈尔滨市","松北区"
"230110","黑龙江省哈尔滨市香坊区","中华人民共和国","黑龙江省","哈尔滨市","香坊区"
"230112","黑龙江省哈尔滨市阿城区","中华人民共和国","黑龙江省","哈尔滨市","阿城区"
"230123","黑龙江省哈尔滨市依兰县","中华人民共和国","黑龙江省","哈尔滨市","依兰县"
"230126","黑龙江省哈尔滨市巴彦县","中华人民共和国","黑龙江省","哈尔滨市","巴彦县"
"230127","黑龙江省哈尔滨市木兰县","中华人民共和国","黑龙江省","哈尔滨市","木兰县"
"230182","黑龙江省哈尔滨市双城市","中华人民共和国","黑龙江省","哈尔滨市","双城市"
"230200","黑龙江省齐齐哈尔市","中华人民共和国","黑龙江省","齐齐哈尔市",""
"230203","黑龙江省齐齐哈尔市建华区","中华人民共和国","黑龙江省","齐齐哈尔市","建华区"
"230206","黑龙江省齐齐哈尔市富拉尔基区","中华人民共和国","黑龙江省","齐齐哈尔市","富拉尔基区"
"230207","黑龙江省齐齐哈尔市碾子山区","中华人民共和国","黑龙江省","齐齐哈尔市","碾子山区"
"230223","黑龙江省齐齐哈尔市依安县","中华人民共和国","黑龙江省","齐齐哈尔市","依安县"
"230224","黑龙江省齐齐哈尔市泰来县","中华人民共和国","黑龙江省","齐齐哈尔市","泰来县"
"230229","黑龙江省齐齐哈尔市克山县","中华人民共和国","黑龙江省","齐齐哈尔市","克山县"
"230281","黑龙江省齐齐哈尔市讷河市","中华人民共和国","黑龙江省","齐齐哈尔市","讷河市"
"230302","黑龙江省鸡西市鸡冠区","中华人民共和国","黑龙江省","鸡西市","鸡冠区"
"230305","黑龙江省鸡西市梨树区","中华人民共和国","黑龙江省","鸡西市","梨树区"
"230307","黑龙江省鸡西市麻山区","中华人民共和国","黑龙江省","鸡西市","麻山区"
"230382","黑龙江省鸡西市密山市","中华人民共和国","黑龙江省","鸡西市","密山市"
"230402","黑龙江省鹤岗市向阳区","中华人民共和国","黑龙江省","鹤岗市","向阳区"
"230405","黑龙江省鹤岗市兴安区","中华人民共和国","黑龙江省","鹤岗市","兴安区"
"230407","黑龙江省鹤岗市兴山区","中华人民共和国","黑龙江省","鹤岗市","兴山区"
"230500","黑龙江省双鸭山市","中华人民共和国","黑龙江省","双鸭山市",""
"230503","黑龙江省双鸭山市岭东区","中华人民共和国","黑龙江省","双鸭山市","岭东区"
"230521","黑龙江省双鸭山市集贤县","中华人民共和国","黑龙江省","双鸭山市","集贤县"
"230522","黑龙江省双鸭山市友谊县","中华人民共和国","黑龙江省","双鸭山市","友谊县"
"230600","黑龙江省大庆市","中华人民共和国","黑龙江省","大庆市",""
"230603","黑龙江省大庆市龙凤区","中华人民共和国","黑龙江省","大庆市","龙凤区"
"230606","黑龙江省大庆市大同区","中华人民共和国","黑龙江省","大庆市","大同区"
"230621","黑龙江省大庆市肇州县","中华人民共和国","黑龙江省","大庆市","肇州县"
"230700","黑龙江省伊春市","中华人民共和国","黑龙江省","伊春市",""
"230702","黑龙江省伊春市伊春区","中华人民共和国","黑龙江省","伊春市","伊春区"
"230705","黑龙江省伊春市西林区","中华人民共和国","黑龙江省","伊春市","西林区"
"230706","黑龙江省伊春市翠峦区","中华人民共和国","黑龙江省","伊春市","翠峦区"
"230710","黑龙江省伊春市五营区","中华人民共和国","黑龙江省","伊春市","五营区"
"230711","黑龙江省伊春市乌马河区","中华人民共和国","黑龙江省","伊春市","乌马河区"
"230714","黑龙江省伊春市乌伊岭区","中华人民共和国","黑龙江省","伊春市","乌伊岭区"
"230716","黑龙江省伊春市上甘岭区","中华人民共和国","黑龙江省","伊春市","上甘岭区"
"230800","黑龙江省佳木斯市","中华人民共和国","黑龙江省","佳木斯市",""
"230803","黑龙江省佳木斯市向阳区","中华人民共和国","黑龙江省","佳木斯市","向阳区"
"230822","黑龙江省佳木斯市桦南县","中华人民共和国","黑龙江省","佳木斯市","桦南县"
"230826","黑龙江省佳木斯市桦川县","中华人民共和国","黑龙江省","佳木斯市","桦川县"
"230881","黑龙江省佳木斯市同江市","中华人民共和国","黑龙江省","佳木斯市","同江市"
"230900","黑龙江省七台河市","中华人民共和国","黑龙江省","七台河市",""
"230904","黑龙江省七台河市茄子河区","中华人民共和国","黑龙江省","七台河市","茄子河区"
"231002","黑龙江省牡丹江市东安区","中华人民共和国","黑龙江省","牡丹江市","东安区"
"231004","黑龙江省牡丹江市爱民区","中华人民共和国","黑龙江省","牡丹江市","爱民区"
"231025","黑龙江省牡丹江市林口县","中华人民共和国","黑龙江省","牡丹江市","林口县"
"231081","黑龙江省牡丹江市绥芬河市","中华人民共和国","黑龙江省","牡丹江市","绥芬河市"
"231085","黑龙江省牡丹江市穆棱市","中华人民共和国","黑龙江省","牡丹江市","穆棱市"
"231102","黑龙江省黑河市爱辉区","中华人民共和国","黑龙江省","黑河市","爱辉区"
"231181","黑龙江省黑河市北安市","中华人民共和国","黑龙江省","黑河市","北安市"
"231182","黑龙江省黑河市五大连池市","中华人民共和国","黑龙江省","黑河市","五大连池市"
"231222","黑龙江省绥化市兰西县","中华人民共和国","黑龙江省","绥化市","兰西县"
"231223","黑龙江省绥化市青冈县","中华人民共和国","黑龙江省","绥化市","青冈县"
"231226","黑龙江省绥化市绥棱县","中华人民共和国","黑龙江省","绥化市","绥棱县"
"232700","黑龙江省大兴安岭地区","中华人民共和国","黑龙江省","大兴安岭地区",""
"232701","黑龙江省大兴安岭地区加格达奇区","中华人民共和国","黑龙江省","大兴安岭地区","加格达奇区"
"232704","黑龙江省大兴安岭地区呼中区","中华人民共和国","黑龙江省","大兴安岭地区","呼中区"
"232723","黑龙江省大兴安岭地区漠河县","中华人民共和国","黑龙江省","大兴安岭地区","漠河县"
"232901","黑龙江省农垦总局宝泉岭分局","中华人民共和国","黑龙江省","农垦总局","宝泉岭分局"
"232904","黑龙江省农垦总局牡丹江分局","中华人民共和国","黑龙江省","农垦总局","牡丹江分局"
"232905","黑龙江省农垦总局建三江分局","中华人民共和国","黑龙江省","农垦总局","建三江分局"
"232908","黑龙江省农垦总局北安分局","中华人民共和国","黑龙江省","农垦总局","北安分局"
"310000","上海市","中华人民共和国","上海市","",""
"310100","上海市市辖区","中华人民共和国","上海市","市辖区",""
"310104","上海市市辖区徐汇区","中华人民共和国","上海市","市辖区","徐汇区"
"310105","上海市市辖区长宁区","中华人民共和国","上海市","市辖区","长宁区"
"310107","上海市市辖区普陀区","中华人民共和国","上海市","市辖区","普陀区"
"310108","上海市市辖区闸北区","中华人民共和国","上海市","市辖区","闸北区"
"310110","上海市市辖区杨浦区","中华人民共和国","上海市","市辖区","杨浦区"
"310112","上海市市辖区闵行区","中华人民共和国","上海市","市辖区","闵行区"
"310114","上海市市辖区嘉定区","中华人民共和国","上海市","市辖区","嘉定区"
"310115","上海市市辖区浦东新区","中华人民共和国","上海市","市辖区","浦东新区"
"310117","上海市市辖区松江区","中华人民共和国","上海市","市辖区","松江区"
"310118","上海市市辖区青浦区","中华人民共和国","上海市","市辖区","青浦区"
"310200","上海市县","中华人民共和国","上海市","县",""
"310230","上海市县崇明县","中华人民共和国","上海市","县","崇明县"
"320000","江苏省","中华人民共和国","江苏省","",""
"320100","江苏省南京市","中华人民共和国","江苏省","南京市",""
"320104","江苏省南京市秦淮区","中华人民共和国","江苏省","南京市","秦淮区"
"320105","江苏省南京市建邺区","中华人民共和国","江苏省","南京市","建邺区"
"320111","江苏省南京市浦口区","中华人民共和国","江苏省","南京市","浦口区"
"320113","江苏省南京市栖霞区","中华人民共和国","江苏省","南京市","栖霞区"
"320115","江苏省南京市江宁区","中华人民共和国","江苏省","南京市","江宁区"
"320116","江苏省南京市六合区","中华人民共和国","江苏省","南京市","六合区"
"320125","江苏省南京市高淳区","中华人民共和国","江苏省","南京市","高淳区"
"320200","江苏省无锡市","中华人民共和国","江苏省","无锡市",""
"320203","江苏省无锡市南长区","中华人民共和国","江苏省","无锡市","南长区"
"320204","江苏省无锡市北塘区","中华人民共和国","江苏省","无锡市","北塘区"
"320206","江苏省无锡市惠山区","中华人民共和国","江苏省","无锡市","惠山区"
"320211","江苏省无锡市滨湖区","中华人民共和国","江苏省","无锡市","滨湖区"
"320281","江苏省无锡市江阴市","中华人民共和国","江苏省","无锡市","江阴市"
"320282","江苏省无锡市宜兴市","中华人民共和国","江苏省","无锡市","宜兴市"
"320300","江苏省徐州市","中华人民共和国","江苏省","徐州市",""
"320303","江苏省徐州市云龙区","中华人民共和国","江苏省","徐州市","云龙区"
"320305","江苏省徐州市贾汪区","中华人民共和国","江苏省","徐州市","贾汪区"
"320312","江苏省徐州市铜山区","中华人民共和国","江苏省","徐州市","铜山区"
"320321","江苏省徐州市丰县","中华人民共和国","江苏省","徐州市","丰县"
"320324","江苏省徐州市睢宁县","中华人民共和国","江苏省","徐州市","睢宁县"
"320381","江苏省徐州市新沂市","中华人民共和国","江苏省","徐州市","新沂市"
"320400","江苏省常州市","中华人民共和国","江苏省","常州市",""
"320402","江苏省常州市天宁区","中华人民共和国","江苏省","常州市","天宁区"
"320411","江苏省常州市新北区","中华人民共和国","江苏省","常州市","新北区"
"320412","江苏省常州市武进区","中华人民共和国","江苏省","常州市","武进区"
"320500","江苏省苏州市","中华人民共和国","江苏省","苏州市",""
"320502","江苏省苏州市姑苏区","中华人民共和国","江苏省","苏州市","姑苏区"
"320507","江苏省苏州市相城区","中华人民共和国","江苏省","苏州市","相城区"
"320582","江苏省苏州市张家港市","中华人民共和国","江苏省","苏州市","张家港市"
"320585","江苏省苏州市太仓市","中华人民共和国","江苏省","苏州市","太仓市"
"320602","江苏省南通市崇川区","中华人民共和国","江苏省","南通市","崇川区"
"320613","江苏省南通市开发区","中华人民共和国","江苏省","南通市","开发区"
"320623","江苏省南通市如东县","中华人民共和国","江苏省","南通市","如东县"
"320684","江苏省南通市海门市","中华人民共和国","江苏省","南通市","海门市"
"320703","江苏省连云港市连云区","中华人民共和国","江苏省","连云港市","连云区"
"320722","江苏省连云港市东海县","中华人民共和国","江苏省","连云港市","东海县"
"320724","江苏省连云港市灌南县","中华人民共和国","江苏省","连云港市","灌南县"
"320803","江苏省淮安市淮安区","中华人民共和国","江苏省","淮安市","淮安区"
"320811","江苏省淮安市清浦区","中华人民共和国","江苏省","淮安市","清浦区"
"320829","江苏省淮安市洪泽县","中华人民共和国","江苏省","淮安市","洪泽县"
"320831","江苏省淮安市金湖县","中华人民共和国","江苏省","淮安市","金湖县"
"320903","江苏省盐城市盐都区","中华人民共和国","江苏省","盐城市","盐都区"
"320923","江苏省盐城市阜宁县","中华人民共和国","江苏省","盐城市","阜宁县"
"320925","江苏省盐城市建湖县","中华人民共和国","江苏省","盐城市","建湖县"
"321000","江苏省扬州市","中华人民共和国","江苏省","扬州市",""
"321003","江苏省扬州市邗江区","中华人民共和国","江苏省","扬州市","邗江区"
"321081","江苏省扬州市仪征市","中华人民共和国","江苏省","扬州市","仪征市"
"321100","江苏省镇江市","中华人民共和国","江苏省","镇江市",""
"321102","江苏省镇江市京口区","中华人民共和国","江苏省","镇江市","京口区"
"321182","江苏省镇江市扬中市","中华人民共和国","江苏省","镇江市","扬中市"
"321183","江苏省镇江市句容市","中华人民共和国","江苏省","镇江市","句容市"
"321281","江苏省泰州市兴化市","中华人民共和国","江苏省","泰州市","兴化市"
"321282","江苏省泰州市靖江市","中华人民共和国","江苏省","泰州市","靖江市"
"321302","江苏省宿迁市宿城区","中华人民共和国","江苏省","宿迁市","宿城区"
"321322","江苏省宿迁市沭阳县","中华人民共和国","江苏省","宿迁市","沭阳县"
"330000","浙江省","中华人民共和国","浙江省","",""
"330102","浙江省杭州市上城区","中华人民共和国","浙江省","杭州市","上城区"
"330105","浙江省杭州市拱墅区","中华人民共和国","浙江省","杭州市","拱墅区"
"330108","浙江省杭州市滨江区","中华人民共和国","浙江省","杭州市","滨江区"
"330122","浙江省杭州市桐庐县","中华人民共和国","浙江省","杭州市","桐庐县"
"330182","浙江省杭州市建德市","中华人民共和国","浙江省","杭州市","建德市"
"330200","浙江省宁波市","中华人民共和国","浙江省","宁波市",""
"330204","浙江省宁波市江东区","中华人民共和国","浙江省","宁波市","江东区"
"330205","浙江省宁波市江北区","中华人民共和国","浙江省","宁波市","江北区"
"330225","浙江省宁波市象山县","中华人民共和国","浙江省","宁波市","象山县"
"330226","浙江省宁波市宁海县","中华人民共和国","浙江省","宁波市","宁海县"
"330300","浙江省温州市","中华人民共和国","浙江省","温州市",""
"330302","浙江省温州市鹿城区","中华人民共和国","浙江省","温州市","鹿城区"
"330322","浙江省温州市洞头县","中华人民共和国","浙江省","温州市","洞头县"
"330326","浙江省温州市平阳县","中华人民共和国","浙江省","温州市","平阳县"
"330329","浙江省温州市泰顺县","中华人民共和国","浙江省","温州市","泰顺县"
"330382","浙江省温州市乐清市","中华人民共和国","浙江省","温州市","乐清市"
"330421","浙江省嘉兴市嘉善县","中华人民共和国","浙江省","嘉兴市","嘉善县"
"330424","浙江省嘉兴市海盐县","中华人民共和国","浙江省","嘉兴市","海盐县"
"330500","浙江省湖州市","中华人民共和国","浙江省","湖州市",""
"330502","浙江省湖州市吴兴区","中华人民共和国","浙江省","湖州市","吴兴区"
"330522","浙江省湖州市长兴县","中华人民共和国","浙江省","湖州市","长兴县"
"330600","浙江省绍兴市","中华人民共和国","浙江省","绍兴市",""
"330603","浙江省绍兴市柯桥区","中华人民共和国","浙江省","绍兴市","柯桥区"
"330681","浙江省绍兴市诸暨市","中华人民共和国","浙江省","绍兴市","诸暨市"
"330700","浙江省金华市","中华人民共和国","浙江省","金华市",""
"330723","浙江省金华市武义县","中华人民共和国","浙江省","金华市","武义县"
"330727","浙江省金华市磐安县","中华人民共和国","浙江省","金华市","磐安县"
"330783","浙江省金华市东阳市","中华人民共和国","浙江省","金华市","东阳市"
"330784","浙江省金华市永康市","中华人民共和国","浙江省","金华市","永康市"
"330822","浙江省衢州市常山县","中华人民共和国","浙江省","衢州市","常山县"
"330825","浙江省衢州市龙游县","中华人民共和国","浙江省","衢州市","龙游县"
"330902","浙江省舟山市定海区","中华人民共和国","浙江省","舟山市","定海区"
"330921","浙江省舟山市岱山县","中华人民共和国","浙江省","舟山市","岱山县"
"331002","浙江省台州市椒江区","中华人民共和国","浙江省","台州市","椒江区"
"331004","浙江省台州市路桥区","中华人民共和国","浙江省","台州市","路桥区"
"331023","浙江省台州市天台县","中华人民共和国","浙江省","台州市","天台县"
"110109","北京市市辖区门头沟区","中华人民共和国","北京市","市辖区","门头沟区"
"110111","北京市市辖区房山区","中华人民共和国","北京市","市辖区","房山区"
"110113","北京市市辖区顺义区","中华人民共和国","北京市","市辖区","顺义区"
"110114","北京市市辖区昌平区","中华人民共和国","北京市","市辖区","昌平区"
"110116","北京市市辖区怀柔区","中华人民共和国","北京市","市辖区","怀柔区"
"110117","北京市市辖区平谷区","中华人民共和国","北京市","市辖区","平谷区"
"110228","北京市县密云县","中华人民共和国","北京市","县","密云县"
"120000","天津市","中华人民共和国","天津市","",""
"120100","天津市市辖区","中华人民共和国","天津市","市辖区",""
"120101","天津市市辖区和平区","中华人民共和国","天津市","市辖区","和平区"
"120103","天津市市辖区河西区","中华人民共和国","天津市","市辖区","河西区"
"120104","天津市市辖区南开区","中华人民共和国","天津市","市辖区","南开区"
"120106","天津市市辖区红桥区","中华人民共和国","天津市","市辖区","红桥区"
"120110","天津市市辖区东丽区","中华人民共和国","天津市","市辖区","东丽区"
"120112","天津市市辖区津南区","中华人民共和国","天津市","市辖区","津南区"
"120113","天津市市辖区北辰区","中华人民共和国","天津市","市辖区","北辰区"
